Source,Target,Distance,Weight
Region 01,Region 02,1486.8707710954,1486.8707710954
Region 01,Region 03,1100.5591261076,1100.5591261076
Region 01,Region 04,5110.0848617494,5110.0848617494
Region 01,Region 05,4968.2006661036,4968.2006661036
Region 01,Region 06,3870.2141370745,3870.2141370745
Region 01,Region 07,1781.4817909912,1781.4817909912
Region 02,Region 03,2587.1317338694,2587.1317338694
Region 02,Region 04,3623.2465825623,3623.2465825623
Region 02,Region 05,3481.6867702476,3481.6867702476
Region 02,Region 06,2383.5079310138,2383.5079310138
Region 02,Region 07,298.7542240768,298.7542240768
Region 03,Region 04,6210.3578312075,6210.3578312075
Region 03,Region 05,6068.6909063672,6068.6909063672
Region 03,Region 06,4970.6180861317,4970.6180861317
Region 03,Region 07,2880.7681526348,2880.7681526348
Region 04,Region 05,155.8012764386,155.8012764386
Region 04,Region 06,1240.1683299092,1240.1683299092
Region 04,Region 07,3330.3778872649,3330.3778872649
Region 05,Region 06,1098.3754760336,1098.3754760336
Region 05,Region 07,3190.0245946999,3190.0245946999
Region 06,Region 07,2091.66096567,2091.66096567
