,Degree,WeightedDegree,MinimumDistance,MaximumDistance,AverageDistance,mst_edges,mst_minimum,mst_maximum,mst_mean,mst_median,mst_std,mst_variance,mst_coefficient_variation,mst_total_length,mst_max_min_ratio
Degree,1.0,0.790569415042095,0.0,0.6440611887195306,0.474341649025257,,,,,,,,,,
WeightedDegree,0.7905694150420949,1.0,0.4588894363839703,0.8728715609439697,0.8928571428571429,,,,,,,,,,
MinimumDistance,0.0,0.45888943638397023,1.0,0.4579639258418362,0.7525786756697113,,,,,,,,,,
MaximumDistance,0.6440611887195307,0.8728715609439697,0.4579639258418362,1.0,0.854686736757637,,,,,,,,,,
AverageDistance,0.474341649025257,0.8928571428571429,0.7525786756697113,0.854686736757637,1.0,,,,,,,,,,
mst_edges,,,,,,,,,,,,,,,
mst_minimum,,,,,,,,,,,,,,,
mst_maximum,,,,,,,,,,,,,,,
mst_mean,,,,,,,,,,,,,,,
mst_median,,,,,,,,,,,,,,,
mst_std,,,,,,,,,,,,,,,
mst_variance,,,,,,,,,,,,,,,
mst_coefficient_variation,,,,,,,,,,,,,,,
mst_total_length,,,,,,,,,,,,,,,
mst_max_min_ratio,,,,,,,,,,,,,,,
